index,prediction
102928,-0.12560248
102929,-0.10894072
102930,-0.10894072
102931,-0.10894072
102932,-0.10894072
102933,-0.10894072
102934,-0.10387695
102935,-0.10387695
102936,-0.10167217
102937,-0.10167217
102938,-0.10167217
102939,-0.10167217
102940,-0.10167217
102941,-0.10167217
102942,-0.10167217
102943,-0.10167217
102944,-0.105687976
102945,-0.105687976
102946,-0.105687976
102947,-0.105687976
102948,-0.10881597
102949,-0.1239661
102950,-0.1239661
102951,-0.1239661
102952,-0.1239661
102953,-0.12687802
102954,-0.12687802
102955,-0.12687802
102956,-0.12687802
102957,-0.12687802
102958,-0.12687802
102959,-0.12687802
102960,-0.12687802
102961,-0.12687802
102962,0.90160686
102963,4.1721573
102964,6.9091296
102965,10.609589
102966,15.455497
102967,19.761963
102968,20.34
102969,18.824684
102970,20.539795
102971,20.445803
102972,24.29683
102973,27.704103
102974,30.911728
102975,31.700108
102976,33.081203
102977,32.910294
102978,30.970016
102979,30.90828
102980,30.916868
102981,29.976168
102982,33.24478
102983,33.532692
102984,33.04855
102985,33.631603
102986,34.522823
102987,32.713497
102988,30.575993
102989,27.425577
102990,27.28385
102991,26.131317
102992,24.968761
102993,23.542507
102994,22.907194
102995,21.847048
102996,20.364582
102997,16.353458
102998,10.012075
102999,7.2424664
103000,4.548769
103001,1.126148
103002,2.812768
103003,-0.15207672
103004,-0.151757
103005,-0.151757
103006,-0.151757
103007,-0.151757
103008,-0.151757
103009,-0.151757
103010,-0.151757
103011,-0.151757
103012,-0.151757
103013,-0.151757
103014,-0.151757
103015,-0.151757
103016,-0.151757
103017,-0.151757
103018,-0.151757
103019,-0.151757
103020,-0.14955223
103021,-0.14955223
103022,-0.14955223
103023,-0.14955223
103024,-0.14955223
103025,-0.14955223
103026,-0.14955223
103027,-0.14955223
103028,-0.14955223
103029,-0.14955223
103030,-0.14955223
103031,-0.14955223
103032,-0.14955223
103033,-0.14955223
103034,-0.14955223
103035,-0.14955223
103036,-0.14955223
103037,-0.14955223
103038,-0.14955223
103039,-0.14955223
103040,-0.14955223
103041,-0.14955223
103042,-0.14955223
103043,-0.14955223
103044,-0.14955223
103045,-0.14955223
103046,-0.14955223
103047,-0.14955223
103048,-0.14955223
103049,-0.14955223
103050,-0.14955223
103051,-0.14955223
103052,-0.14955223
103053,-0.14955223
103054,-0.14955223
103055,-0.14955223
103056,-0.14955223
103057,-0.14955223
103058,0.549595
103059,2.4023545
103060,3.9410594
103061,11.463019
103062,16.898172
103063,19.141245
103064,19.359968
103065,22.407263
103066,23.54104
103067,24.175741
103068,27.4432
103069,30.058521
103070,30.231049
103071,31.241856
103072,32.152153
103073,30.955067
103074,29.810335
103075,30.854532
103076,30.696997
103077,32.817837
103078,33.00587
103079,32.08702
103080,32.194633
103081,31.408665
103082,31.24786
103083,29.07144
103084,27.940903
103085,28.877527
103086,28.70213
103087,26.881561
103088,26.274883
103089,23.672327
103090,22.25216
103091,19.234226
103092,13.559731
103093,8.899689
103094,7.981917
103095,6.870574
103096,4.3913097
103097,1.5366939
103098,-0.09591961
103099,1.2434587
103100,-0.14502406
103101,-0.14502406
103102,-0.14502406
103103,-0.25978494
103104,-0.13856542
103105,-0.13856542
103106,-0.14502406
103107,-0.14502406
103108,-0.14502406
103109,-0.14502406
103110,-0.14502406
103111,-0.14908147
103112,-0.14908147
103113,-0.14908147
103114,-0.14908147
103115,-0.14908147
103116,-0.14908147
103117,-0.12920022
103118,-0.12514281
103119,-0.12514281
103120,-0.09850502
103121,-0.07731056
103122,-0.11040795
103123,-0.11040795
103124,-0.031750917
103125,-0.106392145
103126,-0.106392145
103127,-0.106392145
103128,-0.106392145
103129,-0.06587899
103130,-0.06587899
103131,-0.06587899
103132,5.6001983
103133,5.6001983
103134,3.096682
103135,-0.07281196
103136,-0.06985736
103137,-0.06985736
103138,-0.06985736
103139,-0.06985736
103140,-0.06985736
103141,-0.06985736
103142,-0.06985736
103143,-0.07281196
103144,-0.06587899
103145,-0.06587899
103146,-0.106392145
103147,-0.1170547
103148,-0.1170547
103149,-0.12835062
103150,-0.12835062
103151,-0.13291991
103152,-0.13291991
103153,-0.13291991
103154,2.6827507
103155,5.0672536
103156,7.160947
103157,10.613696
103158,13.730687
103159,14.121673
103160,18.477192
103161,21.165627
103162,22.545576
103163,22.658115
103164,22.887327
103165,25.705276
103166,28.51882
103167,30.295376
103168,29.04519
103169,30.110779
103170,30.014132
103171,29.854128
103172,30.328781
103173,30.647549
103174,30.918446
103175,30.611359
103176,30.611359
103177,28.114721
103178,28.707844
103179,29.337374
103180,29.825937
103181,29.71904
103182,27.997492
103183,28.446201
103184,26.222395
103185,20.969824
103186,19.686596
103187,16.703314
103188,12.754789
103189,10.365984
103190,10.730939
103191,6.666118
103192,3.557885
103193,1.0353948
103194,-0.036999583
103195,-0.036999583
103196,-0.037590742
103197,-0.053931236
103198,-0.05294788
103199,-0.05065334
103200,-0.062440157
103201,-0.062440157
103202,-0.06523991
103203,-0.06523991
103204,-0.060491204
103205,-0.05822146
103206,-0.053829074
103207,-0.11945045
103208,-0.094026685
103209,-0.12419665
103210,-0.1348666
103211,-0.1348666
103212,-0.1348666
103213,-0.1348666
103214,-0.12419665
103215,-0.12419665
103216,-0.098766804
103217,-0.121506214
103218,-0.121506214
103219,-0.12875688
103220,-0.12875688
103221,-0.12875688
103222,-0.12875688
103223,-0.1374203
103224,-0.1374203
103225,-0.1374203
103226,-0.13096166
103227,-0.12824392
103228,-0.12824392
103229,-0.12824392
103230,-0.12824392
103231,-0.12824392
103232,-0.13096166
103233,-0.13096166
103234,-0.13096166
103235,-0.13096166
103236,-0.13096166
103237,-0.09984803
103238,-0.09863877
103239,-0.09863877
103240,-0.09863877
103241,-0.09863877
103242,-0.09592104
103243,-0.09592104
103244,-0.106590986
103245,-0.106590986
103246,-0.106590986
103247,-0.106590986
103248,-0.106590986
103249,-0.106590986
103250,0.7029674
103251,3.0943024
103252,4.352556
103253,7.001437
103254,11.002019
103255,13.637887
103256,15.959086
103257,19.713142
103258,20.092142
103259,21.821774
103260,21.287056
103261,23.941021
103262,28.427032
103263,29.206858
103264,28.259796
103265,28.582508
103266,30.911783
103267,31.02578
103268,31.90283
103269,31.369377
103270,29.344515
103271,29.238731
103272,29.260012
103273,28.696703
103274,27.890793
103275,27.896933
103276,23.557568
103277,21.112936
103278,17.270037
103279,14.223469
103280,17.786757
103281,17.954037
103282,16.893587
103283,15.49889
103284,10.36192
103285,7.621776
